date,location,eff_population,cases,deaths,death_per_100case,death_per_10Kpeople,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
7/2/2020,Missouri,4045501,23085,1056,4.57,0.011296499,,,,,,,,,,,,,,
7/2/2020,Montana,707699,1083,22,2.03,0.028684511,,,,,,,,,,,,,,
7/2/2020,Nebraska,1275127,19476,284,1.46,0.01144984,,,,,,,,,,,,,,
7/2/2020,Nevada,2039803,19871,525,2.64,0.012942426,,,,,,,,,,,,,,
7/2/2020,New Hampshire,571141,5822,375,6.44,0.112756745,,,,,,,,,,,,,,
7/2/2020,New Jersey,5656308,174212,15107,8.67,0.01532802,,,,,,,,,,,,,,
7/2/2020,New Mexico,1181607,12520,503,4.02,0.034021464,,,,,,,,,,,,,,
7/2/2020,New York,12880388,399642,31814,7.96,0.006179938,,,,,,,,,,,,,,
7/2/2020,North Carolina,6913585,68512,1402,2.05,0.002965177,,,,,,,,,,,,,,
7/2/2020,North Dakota,494377,3666,89,2.43,0.049152772,,,,,,,,,,,,,,
7/2/2020,Northern Mariana Islands,36246,30,2,6.67,1.840203057,,,,,,,,,,,,,,
7/2/2020,Ohio,7618060,54166,2903,5.36,0.007035912,,,,,,,,,,,,,,
7/2/2020,Oklahoma,2620292,14539,395,2.72,0.010380522,,,,,,,,,,,,,,
7/2/2020,Oregon,2786629,9344,212,2.27,0.008146043,,,,,,,,,,,,,,
7/2/2020,Pennsylvania,7540629,92703,6758,7.29,0.009667629,,,,,,,,,,,,,,
7/2/2020,Puerto Rico,1828452,7608,153,2.01,0.010992905,,,,,,,,,,,,,,
7/2/2020,Rhode Island,699904,16941,959,5.66,0.080868233,,,,,,,,,,,,,,
7/2/2020,South Carolina,3393450,39701,784,1.97,0.005805301,,,,,,,,,,,,,,
7/2/2020,South Dakota,567312,6893,97,1.41,0.024854049,,,,,,,,,,,,,,
7/2/2020,Tennessee,4512196,46176,612,1.33,0.002947567,,,,,,,,,,,,,,
7/2/2020,Texas,18723207,182260,2562,1.41,0.000753076,,,,,,,,,,,,,,
7/2/2020,Utah,2098856,23466,176,0.75,0.003573375,,,,,,,,,,,,,,
7/2/2020,Vermont,336716,1227,56,4.56,0.1354257,,,,,,,,,,,,,,
7/2/2020,Virgin Islands,68911,98,6,6.12,0.888102045,,,,,,,,,,,,,,
7/2/2020,Virginia,5601177,63735,1816,2.85,0.005088216,,,,,,,,,,,,,,
7/2/2020,Washington,4701339,35921,1343,3.74,0.00795518,,,,,,,,,,,,,,
7/2/2020,West Virginia,1119779,3053,93,3.05,0.027237517,,,,,,,,,,,,,,
7/2/2020,Wisconsin,3856160,32876,801,2.44,0.006327538,,,,,,,,,,,,,,
7/2/2020,Wyoming,379786,1550,20,1.29,0.033966497,,,,,,,,,,,,,,
7/3/2020,Alabama,3239072,41865,1006,2.4,0.00740953,,,,,,,,,,,,,,
7/3/2020,Alaska,474571,1284,13,1.01,0.021282379,,,,,,,,,,,,,,
7/3/2020,Arizona,4798392,91894,1802,1.96,0.004084702,,,,,,,,,,,,,,
7/3/2020,Arkansas,1993732,22622,281,1.24,0.006219492,,,,,,,,,,,,,,
7/3/2020,California,23566950,256298,6315,2.46,0.001043835,,,,,,,,,,,,,,
7/3/2020,Colorado,3804641,33607,1701,5.06,0.013299547,,,,,,,,,,,,,,
7/3/2020,Connecticut,2344611,46717,4335,9.28,0.039580127,,,,,,,,,,,,,,
7/3/2020,Delaware,630196,11923,512,4.29,0.068074059,,,,,,,,,,,,,,
7/3/2020,District of Columbia,446234,10435,555,5.32,0.119219961,,,,,,,,,,,,,,
7/3/2020,Florida,14094013,178586,3683,2.06,0.001461614,,,,,,,,,,,,,,
7/3/2020,Georgia,6842396,85079,2808,3.3,0.004822872,,,,,,,,,,,,,,
7/3/2020,Guam,107187,1255,6,0.48,0.04478155,,,,,,,,,,,,,,
7/3/2020,Hawaii,865578,957,19,1.99,0.022990418,,,,,,,,,,,,,,
7/3/2020,Idaho,1172654,7034,94,1.34,0.011427071,,,,,,,,,,,,,,
7/3/2020,Illinois,5587526,147293,7222,4.9,0.008769534,,,,,,,,,,,,,,
